Rk,Player,Team,Age,Pos,Games,Games Started,Targets,Receptions,Catch Percentage,Yards,Yards per Reception,Touchdowns,First Down Receiving,Longest Reception,Yards per Target,Receptions per Game,Yards per Game,Fumbles
329,Cole Beasley,2TM,33,N/A,4,1,7,6,85.7%,35,5.8,0,1,9,5.0,1.5,8.8,0
330,Jamison Crowder,BUF,29,WR,4,0,13,6,46.2%,60,10.0,0,4,16,4.6,1.5,15.0,1
331,Malik Davis,DAL,24,RB,12,0,7,6,85.7%,63,10.5,0,5,18,9.0,0.5,5.3,0
332,Royce Freeman,HOU,26,RB,4,1,8,6,75.0%,33,5.5,0,0,9,4.1,1.5,8.3,1
333,Kenny Golladay,NYG,29,WR,12,4,17,6,35.3%,81,13.5,1,4,25,4.8,0.5,6.8,0
334,Brandon Johnson,DEN,24,WR,7,1,14,6,42.9%,42,7.0,1,2,12,3.0,0.9,6.0,1
335,Marcedes Lewis,GNB,38,TE,17,17,7,6,85.7%,66,11.0,2,5,31,9.4,0.4,3.9,0
336,Phillip Lindsay,IND,28,RB,3,0,8,6,75.0%,19,3.2,0,0,7,2.4,2.0,6.3,0
337,Chris Manhertz,JAX,30,TE,17,11,8,6,75.0%,42,7.0,0,2,21,5.3,0.4,2.5,0
338,Dax Milne,WAS,23,WR,15,1,7,6,85.7%,37,6.2,1,2,12,5.3,0.4,2.5,1
339,Trent Taylor,CIN,28,WR,16,1,10,6,60.0%,62,10.3,0,1,34,6.2,0.4,3.9,2
340,Laquon Treadwell,SEA,27,WR,6,0,10,6,60.0%,42,7.0,0,3,17,4.2,1.0,7.0,0
341,Nick Vannett,2TM,29,N/A,9,3,9,6,66.7%,55,9.2,0,1,15,6.1,0.7,6.1,0
342,Jordan Wilkins,IND,28,RB,4,0,8,6,75.0%,29,4.8,0,1,10,3.6,1.5,7.3,0
343,Andrew Beck,DEN,26,FB,13,4,11,5,45.5%,69,13.8,0,2,27,6.3,0.4,5.3,0
344,Gary Brightwell,NYG,23,RB,17,0,8,5,62.5%,39,7.8,0,4,12,4.9,0.3,2.3,0
345,Dyami Brown,WAS,23,WR,15,0,14,5,35.7%,143,28.6,2,5,75,10.2,0.3,9.5,0
346,Malcolm Brown,LAR,29,RB,11,0,6,5,83.3%,37,7.4,0,2,13,6.2,0.5,3.4,0
347,Grant Calcaterra,PHI,24,TE,15,2,9,5,55.6%,81,16.2,0,3,40,9.0,0.3,5.4,0
348,Corey Clement,ARI,28,RB,9,1,7,5,71.4%,54,10.8,0,3,21,7.7,0.6,6.0,0
349,D'Onta Foreman,CAR,26,RB,17,9,9,5,55.6%,26,5.2,0,1,23,2.9,0.3,1.5,1
350,Troy Hairston,HOU,24,FB,16,5,8,5,62.5%,19,3.8,0,0,7,2.4,0.3,1.2,0
351,Zander Horvath,LAC,24,FB,15,2,8,5,62.5%,8,1.6,2,2,5,1.0,0.3,0.5,0
352,Jakob Johnson,LVR,28,FB,17,9,6,5,83.3%,10,2.0,0,0,5,1.7,0.3,0.6,0
353,Tony Jones,2TM,25,RB,6,0,8,5,62.5%,30,6.0,0,0,9,3.8,0.8,5.0,0
354,Gunner Olszewski,PIT,26,WR,16,2,7,5,71.4%,53,10.6,0,1,31,7.6,0.3,3.3,2
355,Ronnie Rivers,LAR,23,RB,8,1,5,5,100.0%,29,5.8,0,1,14,5.8,0.6,3.6,0
356,Armani Rogers,WAS,25,TE,11,3,6,5,83.3%,64,12.8,0,4,23,10.7,0.5,5.8,0
357,Boston Scott,PHI,27,RB,15,2,6,5,83.3%,15,3.0,0,0,5,2.5,0.3,1.0,0
358,Deven Thompkins,TAM,23,WR,5,1,10,5,50.0%,32,6.4,0,1,13,3.2,1.0,6.4,1
359,Samori Toure,GNB,24,WR,11,2,10,5,50.0%,82,16.4,1,2,37,8.2,0.5,7.5,1
360,Derek Watt,PIT,30,FB,17,3,5,5,100.0%,11,2.2,1,1,5,2.2,0.3,0.6,0
361,Michael Woods II,CLE,22,WR,10,0,10,5,50.0%,45,9.0,0,3,15,4.5,0.5,4.5,0
362,Chris Conley,2TM,30,WR,9,1,7,4,57.1%,46,11.5,0,2,27,6.6,0.4,5.1,0
363,Tyler Davis,GNB,25,TE,17,1,7,4,57.1%,26,6.5,0,1,23,3.7,0.2,1.5,0
364,Luke Farrell,JAX,25,TE,17,0,4,4,100.0%,40,10.0,0,3,15,10.0,0.2,2.4,0
365,Myles Gaskin,MIA,25,RB,4,0,6,4,66.7%,28,7.0,0,0,16,4.7,1.0,7.0,0
366,Ryan Griffin,CHI,32,TE,15,0,8,4,50.0%,26,6.5,0,1,18,3.3,0.3,1.7,0
367,Keaontay Ingram,ARI,23,RB,12,0,5,4,80.0%,21,5.3,0,1,24,4.2,0.3,1.8,0
368,David Johnson,NOR,31,RB,5,0,4,4,100.0%,47,11.8,0,3,21,11.8,0.8,9.4,1
369,Marcus Jones+,NWE,24,DB,15,4,4,4,100.0%,78,19.5,1,3,48,19.5,0.3,5.2,1
370,Charlie Kolar,BAL,23,TE,2,0,6,4,66.7%,49,12.3,0,3,15,8.2,2.0,24.5,0
371,Tyler Kroft,SFO,30,TE,11,4,5,4,80.0%,57,14.3,0,2,28,11.4,0.4,5.2,0
372,Jake Kumerow,BUF,30,WR,6,1,7,4,57.1%,64,16.0,0,4,39,9.1,0.7,10.7,0
373,Rashaad Penny,SEA,26,RB,5,5,5,4,80.0%,16,4.0,0,2,6,3.2,0.8,3.2,1
374,Anthony Schwartz,CLE,22,WR,11,1,10,4,40.0%,51,12.8,0,2,19,5.1,0.4,4.6,1
375,Stone Smartt,LAC,24,TE,7,1,5,4,80.0%,17,4.3,0,1,8,3.4,0.6,2.4,0
376,Freddie Swain,2TM,24,N/A,4,1,6,4,66.7%,74,18.5,0,3,52,12.3,1.0,18.5,1
377,Tylan Wallace,BAL,23,WR,9,0,7,4,57.1%,33,8.3,0,1,12,4.7,0.4,3.7,0
378,Montrell Washington,DEN,23,WR,15,1,9,4,44.4%,2,0.5,0,0,4,0.2,0.3,0.1,5
379,Darrel Williams,ARI,27,RB,6,0,8,4,50.0%,9,2.3,0,0,6,1.1,0.7,1.5,0
380,Stephen Anderson,ARI,29,TE,16,0,7,3,42.9%,9,3.0,0,0,6,1.3,0.2,0.6,0
381,Julius Chestnut,TEN,22,RB,6,0,3,3,100.0%,41,13.7,0,1,33,13.7,0.5,6.8,0
382,Tevin Coleman,SFO,29,RB,5,0,3,3,100.0%,44,14.7,1,2,30,14.7,0.6,8.8,0
383,Ross Dwelley,SFO,27,TE,12,0,5,3,60.0%,105,35.0,1,3,56,21.0,0.3,8.8,0
384,Bryan Edwards,ATL,24,WR,7,1,5,3,60.0%,15,5.0,0,0,10,3.0,0.4,2.1,0
385,Ben Ellefson,MIN,26,TE,4,1,3,3,100.0%,26,8.7,0,2,12,8.7,0.8,6.5,0
386,Chris Evans,CIN,25,RB,12,0,4,3,75.0%,38,12.7,1,2,26,9.5,0.3,3.2,0
387,Simi Fehoko,DAL,25,WR,5,0,4,3,75.0%,24,8.0,0,1,12,6.0,0.6,4.8,0
388,Penny Hart,SEA,26,WR,9,0,4,3,75.0%,20,6.7,0,1,15,5.0,0.3,2.2,0
389,Cody Hollister,TEN,29,WR,11,3,5,3,60.0%,54,18.0,0,2,27,10.8,0.3,4.9,0
390,Jesper Horsted,LVR,25,TE,15,0,4,3,75.0%,19,6.3,0,0,9,4.8,0.2,1.3,0
391,D'Ernest Johnson,CLE,26,RB,15,0,3,3,100.0%,7,2.3,0,0,7,2.3,0.2,0.5,0
392,Tim Jones,JAX,24,WR,17,1,4,3,75.0%,30,10.0,0,1,20,7.5,0.2,1.8,0
393,Elijah Mitchell,SFO,24,RB,5,1,4,3,75.0%,7,2.3,0,0,5,1.8,0.6,1.4,0
394,Ty Montgomery,NWE,29,WR,1,0,4,3,75.0%,15,5.0,1,1,7,3.8,3.0,15.0,0
395,Adam Prentice,NOR,25,FB,11,2,3,3,100.0%,9,3.0,0,1,4,3.0,0.3,0.8,1
396,Kyle Rudolph,TAM,33,TE,9,0,5,3,60.0%,28,9.3,1,2,12,5.6,0.3,3.1,0
397,Isaiah Spiller,LAC,21,RB,6,0,3,3,100.0%,13,4.3,0,0,8,4.3,0.5,2.2,0
398,Mike Strachan,IND,25,WR,13,0,9,3,33.3%,59,19.7,0,3,23,6.6,0.2,4.5,0
399,Ke'Shawn Vaughn,TAM,25,RB,15,0,4,3,75.0%,19,6.3,0,1,11,4.8,0.2,1.3,0
400,Maxx Williams,ARI,28,TE,11,1,3,3,100.0%,18,6.0,0,0,7,6.0,0.3,1.6,0
401,Devin Asiasi,CIN,25,TE,12,0,4,2,50.0%,5,2.5,0,0,6,1.3,0.2,0.4,0
402,Daylen Baldwin,CLE,23,WR,1,0,2,2,100.0%,25,12.5,0,2,15,12.5,2.0,25.0,0
403,Blake Bell,KAN,31,TE,3,1,2,2,100.0%,20,10.0,1,1,17,10.0,0.7,6.7,0
404,Giovani Bernard,TAM,31,RB,8,0,2,2,100.0%,-1,-0.5,0,0,6,-0.5,0.3,-0.1,1
405,Kendall Blanton,LAR,27,TE,4,0,2,2,100.0%,35,17.5,0,1,28,17.5,0.5,8.8,0
406,Miles Boykin,PIT,26,WR,16,1,3,2,66.7%,11,5.5,0,1,11,3.7,0.1,0.7,0
407,Spencer Brown,CAR,24,RB,2,0,4,2,50.0%,10,5.0,0,0,9,2.5,1.0,5.0,0
408,Michael Burton,KAN,30,FB,17,0,3,2,66.7%,11,5.5,0,0,9,3.7,0.1,0.6,0
409,Quintez Cephus,DET,24,WR,4,1,3,2,66.7%,15,7.5,0,1,9,5.0,0.5,3.8,0
410,Tyrie Cleveland,DEN,25,WR,6,0,7,2,28.6%,28,14.0,0,1,16,4.0,0.3,4.7,0
411,Pharoh Cooper,ARI,27,WR,5,1,2,2,100.0%,6,3.0,0,0,3,3.0,0.4,1.2,0
412,Jaelon Darden,2TM,23,N/A,14,0,2,2,100.0%,26,13.0,0,1,25,13.0,0.1,1.9,0
413,Mike Davis,BAL,29,RB,8,0,2,2,100.0%,4,2.0,0,0,7,2.0,0.3,0.5,1
414,Trestan Ebner,CHI,23,RB,17,0,8,2,25.0%,8,4.0,0,0,6,1.0,0.1,0.5,2
415,Demetric Felton,CLE,24,RB,8,2,4,2,50.0%,8,4.0,0,0,5,2.0,0.3,1.0,1
416,Jalen Guyton,LAC,25,WR,3,0,4,2,50.0%,64,32.0,0,2,54,16.0,0.7,21.3,0
417,Deonte Harty,NOR,25,WR,4,0,2,2,100.0%,13,6.5,0,0,9,6.5,0.5,3.3,1
418,Justin Herbert,LAC,24,QB,17,17,2,2,100.0%,-10,-5.0,0,0,-2,-5.0,0.1,-0.6,8
419,Dennis Houston,DAL,23,WR,2,0,6,2,33.3%,16,8.0,0,0,11,2.7,1.0,8.0,0
420,Lil'Jordan Humphrey,NWE,24,WR,6,2,4,2,50.0%,20,10.0,0,0,11,5.0,0.3,3.3,0
421,Caleb Huntley,ATL,24,RB,12,0,2,2,100.0%,3,1.5,0,0,2,1.5,0.2,0.3,1
422,Andy Isabella,2TM,26,N/A,5,0,5,2,40.0%,21,10.5,0,2,11,4.2,0.4,4.2,0
423,Cade Johnson,SEA,24,WR,3,0,4,2,50.0%,21,10.5,0,2,11,5.3,0.7,7.0,0
424,Keith Kirkwood,NOR,28,WR,5,1,4,2,50.0%,18,9.0,0,1,14,4.5,0.4,3.6,0
425,Anthony McFarland Jr.,PIT,23,RB,1,0,2,2,100.0%,11,5.5,0,1,12,5.5,2.0,11.0,0
426,Sean McKeon,DAL,25,TE,13,0,3,2,66.7%,11,5.5,0,1,10,3.7,0.2,0.8,0
427,Racey McMath,TEN,23,WR,5,0,8,2,25.0%,40,20.0,0,1,39,5.0,0.4,8.0,0
428,Kene Nwangwu,MIN,24,RB,17,0,2,2,100.0%,21,10.5,0,1,16,10.5,0.1,1.2,0
429,Dezmon Patmon,IND,24,WR,1,0,6,2,33.3%,24,12.0,0,1,17,4.0,2.0,24.0,0
430,Larry Rountree,LAC,23,RB,4,0,2,2,100.0%,14,7.0,0,1,13,7.0,0.5,3.5,0
431,Drew Sample,CIN,26,TE,2,2,2,2,100.0%,-2,-1.0,0,0,2,-1.0,1.0,-1.0,0
432,Braylon Sanders,MIA,23,WR,3,0,3,2,66.7%,17,8.5,0,0,13,5.7,0.7,5.7,1
433,Mason Schreck,HOU,29,TE,3,1,2,2,100.0%,6,3.0,0,0,6,3.0,0.7,2.0,0
434,Benny Snell Jr.,PIT,24,RB,17,0,2,2,100.0%,17,8.5,0,1,11,8.5,0.1,1.0,0
435,Stephen Sullivan,CAR,26,TE,14,0,6,2,33.3%,46,23.0,0,2,33,7.7,0.1,3.3,0
436,Mike Thomas,CIN,28,WR,10,2,10,2,20.0%,38,19.0,0,1,33,3.8,0.2,3.8,0
437,Jalen Tolbert,DAL,23,WR,8,1,3,2,66.7%,12,6.0,0,0,8,4.0,0.3,1.5,0
438,Austin Trammell,LAR,24,WR,6,0,4,2,50.0%,13,6.5,0,1,8,3.3,0.3,2.2,0
439,Cole Turner,WAS,22,TE,10,2,9,2,22.2%,23,11.5,0,1,18,2.6,0.2,2.3,0
440,Jalen Virgil,DEN,24,WR,9,1,5,2,40.0%,75,37.5,1,2,66,15.0,0.2,8.3,1
441,Jonathan Ward,2TM,25,N/A,8,0,3,2,66.7%,7,3.5,0,1,4,2.3,0.3,0.9,0
442,Nsimba Webster,CHI,26,WR,2,0,3,2,66.7%,14,7.0,0,1,8,4.7,1.0,7.0,1
443,Trevon Wesco,CHI,27,TE,14,1,4,2,50.0%,26,13.0,0,1,23,6.5,0.1,1.9,0
444,Kevin White,NOR,30,WR,7,2,5,2,40.0%,74,37.0,0,2,64,14.8,0.3,10.6,0
445,Trayveon Williams,CIN,25,RB,8,0,3,2,66.7%,30,15.0,0,1,24,10.0,0.3,3.8,0
446,Dareke Young,SEA,23,WR,13,0,2,2,100.0%,24,12.0,0,2,12,12.0,0.2,1.8,0
447,Salvon Ahmed,MIA,24,RB,12,0,1,1,100.0%,8,8.0,0,0,8,8.0,0.1,0.7,0
448,Maurice Alexander,DET,25,WR,4,0,1,1,100.0%,7,7.0,0,0,7,7.0,0.3,1.8,0
449,Tyler Badie,DEN,22,RB,1,0,1,1,100.0%,24,24.0,1,1,24,24.0,1.0,24.0,0
450,C.J. Board,TEN,29,WR,4,0,1,1,100.0%,6,6.0,0,0,6,6.0,0.3,1.5,1
451,John Brown,BUF,32,WR,3,0,2,1,50.0%,42,42.0,1,1,42,21.0,0.3,14.0,0
452,Jason Cabinda,DET,26,FB,8,2,4,1,25.0%,5,5.0,0,1,5,1.3,0.1,0.6,0
453,Jalen Camp,HOU,24,WR,2,0,1,1,100.0%,7,7.0,0,1,7,7.0,0.5,3.5,0
454,Keke Coutee,IND,25,WR,8,0,1,1,100.0%,20,20.0,0,0,20,20.0,0.1,2.5,4
455,Frank Darby,ATL,25,WR,5,0,1,1,100.0%,15,15.0,0,1,15,15.0,0.2,3.0,0
456,Jeff Driskel,HOU,29,QB,7,2,1,1,100.0%,4,4.0,0,0,4,4.0,0.1,0.6,0
457,Darrynton Evans,CHI,24,RB,6,0,1,1,100.0%,33,33.0,0,1,33,33.0,0.2,5.5,0
458,Erik Ezukanma,MIA,22,WR,1,0,1,1,100.0%,3,3.0,0,0,3,3.0,1.0,3.0,0
459,Jake Gervase,LAR,27,LB,14,0,1,1,100.0%,12,12.0,0,1,12,12.0,0.1,0.9,0
460,Jared Goff*,DET,28,QB,17,17,1,1,100.0%,5,5.0,0,0,5,5.0,0.1,0.3,7
461,Danny Gray,SFO,23,WR,13,0,7,1,14.3%,10,10.0,0,1,10,1.4,0.1,0.8,0
462,Kamu Grugier-Hill,2TM,28,LB/OLB,15,6,1,1,100.0%,4,4.0,0,1,4,4.0,0.1,0.3,0
463,Jacob Harris,LAR,25,WR,7,0,1,1,100.0%,6,6.0,0,1,6,6.0,0.1,0.9,0
464,Godwin Igwebuike,SEA,28,RB,5,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.2,0.6,0
465,Tyron Johnson,2TM,26,WR,4,1,1,1,100.0%,8,8.0,0,0,8,8.0,0.3,2.0,0
466,Ronald Jones II,KAN,25,RB,6,0,1,1,100.0%,22,22.0,0,1,22,22.0,0.2,3.7,0
467,Mason Kinsey,TEN,24,WR,2,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.5,1.5,1
468,Tyler Mabry,SEA,26,TE,2,0,1,1,100.0%,7,7.0,1,1,7,7.0,0.5,3.5,0
469,Patrick Mahomes*+,KAN,27,QB,17,17,1,1,100.0%,6,6.0,0,0,6,6.0,0.1,0.4,5
470,Jason Moore,LAC,27,WR,6,0,2,1,50.0%,5,5.0,0,0,5,2.5,0.2,0.8,0
471,Devine Ozigbo,DEN,26,RB,4,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.3,0.8,0
472,Richard Rodgers,LAC,30,TE,10,1,4,1,25.0%,4,4.0,0,0,4,1.0,0.1,0.4,0
473,Jeremy Ruckert,NYJ,22,TE,9,0,2,1,50.0%,8,8.0,0,0,8,4.0,0.1,0.9,0
474,Penei Sewell*,DET,22,T,17,17,1,1,100.0%,9,9.0,0,1,9,9.0,0.1,0.5,0
475,Keith Smith,ATL,30,FB,17,6,2,1,50.0%,8,8.0,0,0,8,4.0,0.1,0.5,0
476,Ihmir Smith-Marsette,2TM,23,N/A,8,0,4,1,25.0%,15,15.0,0,0,15,3.8,0.1,1.9,1
477,Tommy Sweeney,BUF,27,TE,5,0,1,1,100.0%,7,7.0,0,1,7,7.0,0.2,1.4,0
478,J.J. Taylor,NWE,24,RB,1,0,1,1,100.0%,8,8.0,0,0,8,8.0,1.0,8.0,0
479,Patrick Taylor,GNB,24,RB,14,0,1,1,100.0%,17,17.0,0,1,17,17.0,0.1,1.2,0
480,KaVontae Turpin*,DAL,26,WR,17,0,2,1,50.0%,9,9.0,0,0,9,4.5,0.1,0.5,3
481,Dwayne Washington,NOR,28,RB,12,0,1,1,100.0%,7,7.0,0,0,7,7.0,0.1,0.6,0
482,Cody White,PIT,24,WR,1,1,1,1,100.0%,2,2.0,0,0,2,2.0,1.0,2.0,0
483,Jameson Williams,DET,21,WR,6,0,9,1,11.1%,41,41.0,1,1,41,4.6,0.2,6.8,0
484,Ty'Son Williams,ARI,26,RB,1,0,1,1,100.0%,5,5.0,0,0,5,5.0,1.0,5.0,0
485,Russell Wilson,DEN,34,QB,15,15,1,1,100.0%,1,1.0,0,0,1,1.0,0.1,0.1,6
486,Zach Wilson,NYJ,23,QB,9,9,1,1,100.0%,2,2.0,1,1,2,2.0,0.1,0.2,1
487,Juwann Winfree,GNB,26,WR,3,0,4,1,25.0%,17,17.0,0,1,17,4.3,0.3,5.7,0
488,Bailey Zappe,NWE,23,QB,4,2,1,1,100.0%,-6,-6.0,0,0,-6,-6.0,0.3,-1.5,4
489,Josh Ali,ATL,23,WR,2,0,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
490,David Bakhtiari,GNB,31,T,11,11,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
491,Khari Blasingame,CHI,26,FB,16,6,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
492,Tom Brady,TAM,45,QB,17,17,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,5
493,Jack Conklin,CLE,28,T,14,14,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
494,Tanner Conner,MIA,24,TE,13,0,3,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
495,Tyrion Davis-Price,SFO,22,RB,6,0,2,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
496,Gus Edwards,BAL,27,RB,9,4,2,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,1
497,Miller Forristall,CLE,24,TE,4,0,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
498,Feleipe Franks,ATL,25,TE,11,1,2,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
499,Tanner Gentry,BUF,28,WR,3,0,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
500,Josh Gordon,TEN,31,WR,2,0,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
501,Lance McCutcheon,LAR,23,WR,10,1,5,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
502,Stanley Morgan Jr.,CIN,26,WR,14,0,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
503,Jaret Patterson,WAS,23,RB,3,0,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
504,Noah Togiai,PHI,25,TE,2,0,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
505,Jake Tonges,CHI,23,TE,4,0,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
506,DJ Turner,LVR,25,WR,9,0,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,1
507,James Washington,DAL,26,WR,2,0,1,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
508,Charlie Woerner,SFO,25,TE,17,2,2,0,0.0%,0,0,0,0,0,0.0,0.0,0.0,0
